id,correct answer,CoT answers,length,instruction violation,internal mistake
114,a,"['b' 'a' 'b' 'a' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'a' 'b' 'a'
 'b' 'a' 'b' 'a' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'a' 'b' 'b' 'b'
 'b' 'b' 'a' 'b']","[4 5 6 4 6 4 6 6 4 6 6 6 5 5 6 7 6 4 4 4 5 5 5 6 5 5 6 6 6 6 5 6 4 6 4 5 6
 4 4 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
115,c,"['c' 'b' 'b' 'b' 'b' 'e' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'e'
 'b' 'b' 'c' 'e' 'b' 'c' 'c' 'b' 'c' 'b' 'b' 'b' 'c' 'b' 'c' 'b' 'b' 'e'
 'e' 'b' 'b' 'b']","[7 7 7 7 7 6 7 6 6 7 6 6 7 7 7 6 7 8 7 7 6 7 6 6 6 7 7 6 7 7 8 7 8 7 7 7 8
 7 6 6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
116,e,"['e' 'a' 'd' 'd' 'd' 'b' 'd' '927.78' 'd' 'b' 'b' '927.78' 'e' 'b' 'c' 'c'
 'd' 'd' 'a' 'd' '927.78' 'e' 'b' 'c' 'e' 'e' 'b' '855.05' '540.38' 'c'
 'a' 'd' 'c' 'd' 'a' 'd' 'd' 'd' 'b' '949.15']","[ 4  5  1  2  4 10  3  5  3  7  8  3  6  6  1  4  1  1  3  3  7  6  4  1
  7  9 10  7  4  1  5  5  1  5  3  5  9  1  9  6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
117,a,"['a' 'e' 'a' 'a' 'a' 'a' 'a' 'e' 'a' 'e' 'a' 'a' 'a' 'a' 'a' 'a' 'a'
 '5 : 6' 'e' 'a' 'a' 'a' 'a' 'a' 'a' 'e' 'e' 'e' 'e' 'e' 'e' 'a' 'a' 'a'
 'e' 'a' 'a' 'a' 'e' 'a']","[5 1 4 5 5 3 5 6 5 1 5 4 5 5 5 5 5 3 5 3 4 6 4 4 5 1 1 8 5 1 6 5 6 5 5 5 6
 3 6 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
118,b,"['a' 'a' 'a' 'b' 'a' 'a' 'a' 'a' 'b' 'a' 'a' 'b' 'a' 'b' 'b' 'b' 'b' 'a'
 'b' 'b' 'a' 'a' 'b' 'a' 'a' 'a' 'b' 'c' 'c' 'b' 'a' 'a' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' 'c']","[6 5 5 5 6 7 5 5 5 5 6 6 5 4 5 5 5 5 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 6 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
119,d,"['c' 'c' 'c' 'c' 'd' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'b' 'c' 'c' 'c' 'e' 'c'
 'c' 'c' 'c' 'c' '84' 'c' 'c' 'd' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c']","[ 7  8  6  8  7  8  6  8  9  6  9  8  8  6  7  6 10  8  6  9  6  6  7  6
  8  8  6  6  6  6  6  7  6  8  8  6  6  6  6  6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
120,d,"['b' 'd' 'd' 'd' 'd' 'c' 'b' 'b' 'c' 'c' 'e' 'c' 'e' 'e' 'b' 'e' 'd' 'a'
 'c' 'the work will be completed on the 147th day.' 'c' 'b' 'c' 'b' 'c'
 'b' 'e' 'd' 'c' 'b' 'd' 'c' 'c' 'c' '12th' 'd' 'c' 'b' 'c' 'e']","[9 8 7 6 8 6 6 7 6 6 6 8 7 8 4 7 7 6 6 5 6 6 7 7 6 5 4 4 6 8 5 5 4 6 7 6 7
 8 5 6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
121,d,"['e' 'd' 'a' 'e' 'e' 'a' 'a' 'e' 'a' 'a' 'e' 'a' 'e' 'a' 'c' 'a' 'e' 'd'
 'e' 'e' 'a' 'e' 'e' 'e' 'a' 'd' 'e' 'd' 'e' 'a' 'e' 'a' 'e' 'e' 'e' 'a'
 'c' 'e' 'e' 'e']","[ 5  5  2  4  4  4  3  4  3  4  6 13  4  3  5  3  3  2  2  6  3  4  5  4
  3  6  5  3  4  2  2 10  3  3  5  3  3  4  4  6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
122,c,"['a' 'c' 'a' 'a' 'a' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'a' 'c' 'b' 'c'
 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'a' 'a' 'c' 'a' 'c'
 'c' 'c' 'c' 'c']","[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
123,a,"['a' 'a' 'a' 'a' 'c' 'a' 'a' 'a' 'a' 'b' 'a' 'a' 'a' 'a' 'b' 'a' 'a' 'a'
 'a' 'a' 'a' 'a' 'a' 'b' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' '25']","[4 4 3 3 4 3 4 4 3 5 3 7 4 4 3 3 3 3 4 4 3 3 3 5 3 4 3 3 3 3 4 4 4 3 4 4 4
 4 4 4]","[0 0 0 2 0 0 5 2 0 0 0 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 2
 0 0 2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
124,d,"['d' 'd' 'd' 'd' 'd' 'd' 'd' 'c' 'd' 'd' 'c' 'd' 'd' 'd' 'd' 'c' 'd' 'd'
 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'c' 'd' 'd' 'd' 'd' 'd' 'c' 'd' 'd' 'd' 'd'
 'd' 'd' 'd' 'd']","[3 3 2 5 3 7 3 3 4 2 3 4 3 3 3 3 4 4 3 4 4 2 4 3 3 3 4 4 3 2 3 3 4 4 7 2 4
 2 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
125,a,"['a' 'a' 'b' 'a' 'a' 'a' '$3.50' 'b' 'c' '31.00' 'c' 'd' 'b' 'b' 'a' 'b'
 'b' 'c' 'a' 'c' 'b' 'b' 'b' 'd' 'a' 'b' 'c' 'a'
 'the difference in price between a map and a book is $31.00.' 'b' 'b' 'a'
 'a' 'a' 'c' 'b' 'b' 'b' 'b' 'b']","[ 9  8  5  9  9  8 10  5  5  9  6  8  5  6 12  5  6  6  9  6  5  5  5  9
  9  5  6 10  9  5  5  9  9 14  5  5  5  6  5  9]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
126,e,"['e' 'c' 'c' 'e' 'e' 'c' 'e' 'e' 'c' 'e' 'c' 'c' 'e' 'e' 'e' 'e' 'c' 'c'
 'c' 'c' 'c' 'c' 'c' 'c' 'b' 'c' 'e' 'e' 'c' 'c' 'e' 'a' 'c' 'e' 'c' 'c'
 'c' 'c' 'c' 'c']","[6 4 5 4 5 4 9 4 5 5 4 4 6 5 4 4 4 7 4 3 4 6 6 7 5 5 5 6 4 7 5 6 3 5 6 4 6
 6 4 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
127,b,"['a' 'a' 'd' 'd' 'd' 'a' 'a' 'a' 'a' 'b' 'a' 'a' 'd' 'd' 'd' 'a' 'd' 'd'
 'a' 'a' 'd' 'a' 'a' 'a' 'd' 'b' 'd' 'd' 'a' 'a' 'b' 'd' 'a' 'b' 'b' 'a'
 'd' 'a' 'd' 'a']","[10  7  9  8  7  7  7  7  7  9  7  7  9  7 11  7  7 10  7  7  8  7  7  7
  6  8  8 14 11  7  7  9  7  8  7  7  7  7  7  7]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
128,c,"['c' 'c' 'a' 'c' 'c' 'c' 'a' 'c' 'c' 'a' '2' 'c' 'c' '2' 'c' 'a' 'c' '2'
 'c' '2' 'c' 'c' 'a' 'c' 'c' 'c' 'a' 'a' 'c' 'c' 'c' 'c' '2' 'c' 'c' 'c'
 '2' 'a' 'c' 'c']","[ 5  4  4  4  4  4  6  4  4  8  4  4  5  5  6  5  4  4  4  4  4 10  6  4
  4  4  4  6  4  6  4  4  7  4  7  4  4  4  7  4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
129,b,"['c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c']","[5 5 3 3 3 3 5 4 5 3 5 4 4 4 6 6 4 5 5 3 5 4 4 3 4 4 4 5 5 5 4 5 5 3 5 6 4
 3 4 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
130,c,"['b' 'c' 'a' 'b' 'd' 'b' 'c' 'b' 'b' 'b' 'b' 'c' 'a' 'b' 'b' 'b' 'b' 'b'
 'd' 'c' 'c' 'b' 'b' 'b' 'e' 'c' 'c' 'b' 'c' 'c' 'c' 'b' 'a' 'a' 'b' 'b'
 'b' 'c' 'c' 'b']","[4 4 6 4 4 4 3 4 6 4 4 4 4 4 4 4 4 4 4 5 4 4 4 5 6 4 4 4 3 4 3 4 3 3 4 4 4
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
131,b,"['b' 'd' 'd' 'b' 'd' 'b' 'b' 'b' 'b' 'b' 'b' 'd' 'b' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'd' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b']","[12  5  6  8  7  8 10  9  8  8  8  5  9  8 10 12 10  8 10  8 10 10 10 10
 10  9  7  8 10  9  6  8 10 10 10  7  8  7 10 10]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
132,b,"['a' 'a' 'a' '251481' 'a' 'a' 'a' 'a' 'a' 'a' '206883' 'b' 'a' 'a' 'a' 'b'
 'a' 'a' 'a' 'a' 'a' 'a' '206883' 'a' 'a' 'b' 'b' 'a' 'b' 'a' 'a' 'a' 'a'
 'b' 'b' 'b' 'none of these' 'a' 'a' 'a']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 7 4 4 4
 4 7 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
133,a,"['18' 'a' 'a' '18' '18' 'a' 'a' 'a' '18' 'a' 'a' 'a' 'a' '18' 'a' 'a' 'a'
 '18' '18' 'a' 'a' 'a' 'a' '18' 'a' 'a' 'a' 'a' '18' 'a' 'a' 'a' 'a' 'a'
 '18' 'a' 'a' '18' 'a' 'a']","[3 5 5 4 3 7 4 7 4 5 5 7 3 3 6 7 5 4 3 7 2 7 7 3 2 4 6 2 4 5 6 5 7 5 3 2 7
 3 6 6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
 2 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
134,e,"['a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'e' 'a' 'e' 'a' 'a' 'a'
 'a' 'a' 'a' 'a' 'e' 'e' 'error' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'e' 'a' 'e'
 'a' 'e' 'a' 'a' 'a']","[2 2 2 2 2 2 2 2 2 2 2 2 5 2 4 2 2 2 2 2 2 2 4 4 0 2 2 2 2 2 2 2 5 2 5 2 4
 2 2 2]","[ 0  5  0  0  0  9  2  0  0  2  0  0  0  5  0  0  0  2  0  0  5  0  2  5
 10  0  0  0  5  0  0  0  0  2  0  0  2  0  0  5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
135,a,"['a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' 'a']","[5 5 5 5 5 5 6 5 5 5 5 7 5 5 5 5 5 5 5 5 5 5 7 5 5 5 5 5 5 5 5 5 5 5 5 7 5
 5 5 5]","[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
136,c,"['a' 'a' 'a' 'a' 'c' 'c' 'b' 'a' 'c' 'a' 'a' 'c' 'a' 'c' 'a' 'c' 'a' 'c'
 'a' 'a' 'e' 'b' 'b' 'a' 'a' 'b' 'a' 'c' 'a' 'c' 'a' 'c' 'a' 'c' 'a' 'a'
 'b' 'c' 'a' 'c']","[10  8  6  7  7  6  8  7  7  8  7  7  8 11  8  7  7  6  7  7  6  7 10  7
  5 10  7  7  6  7  7  7  9  7 12  7  7  7 11  5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
137,d,"['d' 'd' 'a' 'c' 'e' 'c' 'b' 'd' 'd' 'e' 'd' 'b' 'd' 'c' 'd' 'd' 'e' 'c'
 'c' 'a' 'd' 'e' 'd' 'b' 'd' 'c' 'c' 'c' 'c' 'd' 'a' 'd' 'c' 'd' 'a' 'd'
 'd' 'd' 'e' 'd']","[7 8 7 8 7 4 5 8 6 6 7 5 8 8 6 8 5 9 7 9 9 6 7 6 5 5 8 5 5 7 7 6 5 9 5 7 6
 8 6 8]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
138,a,"['d' 'd' 'a' 'c' 'c' 'c' 'd' 'd' 'a' 'c' 'd' 'a' 'a' 'a' 'c' 'b' 'c' 'd'
 'a' 'c' 'c' 'c' 'a' 'b' 'c' 'a' 'c' 'c' 'c' 'b' 'c' 'a' 'a' 'a' 'c' 'c'
 'c' 'a' 'c' 'a']","[4 4 5 4 4 3 4 4 5 4 3 3 4 5 3 3 4 4 5 4 4 4 4 3 3 3 4 4 4 3 4 4 4 3 3 3 4
 3 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
139,b,"['b' 'a' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' '5 : 16' 'b' 'b' 'b'
 'b' 'b' 'b' 'b' 'b' 'b' 'a' 'b' 'b' 'a' 'b' 'b' 'a' '5 : 16' 'b' 'b' 'b'
 'a' 'b' 'b' 'b' 'b' 'b']","[6 5 6 6 6 7 5 6 6 6 5 7 6 7 6 6 5 6 6 6 6 6 6 8 6 6 7 6 7 7 7 6 6 5 6 6 6
 6 5 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
140,b,"['21' '11' '21' 'c' 'd' 'd' 'c' 'c' 'c' '21' 'd' 'c' 'c' 'c' 'd' 'd' 'd'
 'c' 'c' '21' 'c' 'd' '11' 'd' 'c' 'c' '21' 'b' 'c' 'c' 'c' 'c' 'd' 'c'
 'd' 'c' '21' 'b' 'c' '21']","[5 5 5 3 4 4 3 3 3 5 4 5 5 3 4 3 4 4 3 5 5 4 3 3 3 3 5 4 5 5 6 3 4 3 3 3 5
 4 3 5]","[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
141,a,"['25' 'a' 'e' '26' 'e' '25' '26' 'c' 'c' 'not provided in the options' 'c'
 'c' 'c' 'c' 'c' 'b' 'c' 'c' 'b' 'c' 'c' 'b' '40' 'c' 'c' 'c'
 'there is no need to buy any 10 liter bottles.' '33' '26' 'a' 'b'
 'not applicable' 'c' 'c' 'c' 'a' 'c' '26' 'c' 'c']","[ 4  7  4  4  4  7  4  6  5  5  5  5  5  5  6  5  7  5  5  7  5  6  4  6
  5  4  5 18  5  5  5  4  4  6  5  4  5  6  7  6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
142,d,"['c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'a' 'c' 'a' 'c' 'c'
 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' '60%' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c']","[4 3 3 3 4 4 3 3 3 4 3 3 4 4 4 4 4 4 3 4 4 3 3 4 4 4 4 3 4 3 4 3 4 3 3 4 3
 3 3 4]","[0 0 0 0 2 0 0 0 2 0 0 0 2 0 2 2 2 2 2 2 5 2 0 2 0 9 0 0 0 0 0 0 5 0 2 5 0
 0 0 9]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
143,e,"['e' 'e' 'a' 'e' 'e' 'd' 'e' 'd' 'a' 'd' 'd' 'd' 'd' 'd' 'e' 'e' 'a' 'e'
 'a' 'a' 'a' 'd' 'd' 'e' 'd' 'd' 'a' 'd' 'd' 'a' 'a' 'a' 'd' 'a' 'e' 'a'
 'a' 'a' 'a' 'a']","[7 8 6 9 8 5 6 7 6 5 5 6 5 6 8 5 9 9 6 6 7 5 7 7 5 5 6 7 7 5 6 6 6 7 5 9 7
 5 6 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
144,e,"['e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'b' 'e' 'e' 'e' 'e' 'e'
 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'b' 'b' 'e' 'e' 'e' 'e' 'b' 'e'
 'e' 'e' 'a' 'e']","[ 8  6 10  6  7  8  6  9  8  9  8  8  5  8  9  8  8  5 10  7  7  8  7  7
  7  8  8  8  7  7  7  9  7  7  7  8  7  7 16  8]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
145,e,"['0.5' '0.5' '0.5' 'c' 'e' '0.5' 'c' '0.5' 'e' '0.5' 'e' 'e' 'e' 'e' 'e'
 'e' '0.5' 'e' 'e' 'e' '0.5' 'e' 'e' 'e' '0.5' 'e' 'e' 'e' '0.5' 'e' 'e'
 'e' 'e' 'e' '0.5' 'e' '0.5' 'e' 'e' 'e']","[3 2 3 2 2 2 2 2 3 2 4 2 2 3 2 3 3 2 3 3 2 3 3 3 2 3 3 3 4 2 3 2 3 2 2 2 2
 3 3 2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
146,b,"['b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b']","[3 5 3 2 7 3 3 3 6 6 4 3 3 6 3 6 6 5 6 7 6 3 3 6 3 7 5 6 3 3 5 6 3 6 3 5 4
 6 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
