id,correct answer,CoT answers,length,instruction violation,internal mistake,Question,correctness
89,a,"['b' 'b' 'b' 'e' 'b' 'a' 'b' 'b'
 'the correct answer is not provided in the options. a beats c by 77.78 meters in a 700m race.'
 'b' 'e' 'b' 'a' 'b' 'b' 'a' 'b' 'd' 'a' 'c' 'a' 'a' 'b' 'a' 'b' 'e' 'a'
 'b' '210' 'b' 'b' 'c' 'a' 'a' 'a' 'a' 'b' 'b' 'b' 'e']","[16 11  8  4  5  6  6  5  3  7 10  9 13  3  8  9  6  0 13 11  5  4  7  4
  4 10  4  4  4  5  5  8 13  7  7 10 10 11 10  4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","in a race of 1000 m , a can beat by 100 m , in a race of 800 m , b can beat c by 100 m . by how many meters will a beat c in a race of 700 m ? The options are: a ) 148.75 m , b ) 127.5 m . , c ) 122.2 m , d ) 222.9 m , e ) 12289 m","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]"
90,a,"['a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' 'a']","[3 3 4 3 3 3 3 3 5 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 7
 3 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","ifaequals the sum of the even integers from 2 to 120 , inclusive , andbequals the sum of the odd integers from 1 to 119 , inclusive , what is the value of a - b ? The options are: a ) 60 , b ) 10 , c ) 19 , d ) 20 , e ) 21","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
91,d,"['b' 'c' 'a' 'a' 'a' 'c' 'a' 'a' 'a' 'a' 'a' 'b' 'b' 'c' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' 'a' 'b' 'a' 'b' 'a' 'a' 'a' 'a' 'b' 'a' 'a' 'b' 'b' 'a' 'a'
 'a' 'a' 'a' 'b']","[ 5  9  6  5  7  8  5  5  7  5  6  6  7  8  7  5  7  7  6  7  7  7  5  7
  7  6  7  8  7 11  6  7  5  7  6  6  7  6  5  5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","the cost of registration at a professional association meeting was $ 50 per person ; a lunch for registrants only was available for an additional $ 22 per person . if the number of registrants who paid for lunch was 10 more than the number who did not , and if receipts for registration and lunch totaled $ 61720 , how many people paid just for registration at the meeting ? The options are: a ) 700 , b ) 800 , c ) 1,300 , d ) 500 , e ) 1,800","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,a,"['a' 'b' 'b' 'a' 'a' 'a' 'c' 'c' 'a' 'a' 'a' 'a' '62.7' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' '62.7' 'a' 'b' 'b' 'a' 'a' 'a' 'b' 'a' 'a' 'a' 'a' 'a' 'b'
 'a' 'a' 'b' 'b' 'a' 'c']","[6 6 6 6 5 9 5 6 7 6 6 5 6 6 7 6 5 5 6 5 5 5 5 5 7 7 6 5 5 5 7 5 6 5 5 7 5
 6 8 7]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","at what price must an article costing rs . 47.50 be marked in order that after deducting 7 % from the list price . it may be sold at a profit of 25 % on the cost price ? The options are: a ) 63.84 , b ) 62.6 , c ) 62.1 , d ) 62.7 , e ) 62.2","[1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0]"
93,a,"['a' '40' 'c' '60' '40' 'a' 'c' '40' '30' '60' '40' 'a' '40' '40' '40'
 '40' '40' 'c' '40' 'a' '40' 'a' '40' '40' '40' '40' '40' '40' '40' 'a'
 'a' 'c' '40' '40' '60' '40' '40' 'a' '40' '40']","[6 4 6 6 4 5 6 6 6 6 5 5 6 6 4 6 5 6 6 5 4 5 4 5 5 6 5 4 6 5 5 6 6 6 7 4 5
 5 5 4]","[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","in may mrs lee ' s earnings were 50 percent of the lee family ' s total income . in june mrs lee earned 20 percent more than in may . if the rest of the family ' s income was the same both months , then , in june , mrs lee ' s earnings were approximately what percent of the lee family ' s total income ? The options are: a ) 55 , b ) 56 , c ) 34 , d ) 78 , e ) 23","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
94,a,"['a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a' 'a'
 'a' 'a' 'a' 'a']","[1 1 2 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 3 1 2 3 3 3 1 1 3 1 3 3 3 3 3 3 3 2 2
 3 1 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","what is 30 % of 80 ? The options are: a ) 24 , b ) 66 , c ) 367 , d ) 28 , e ) 267","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
95,b,"['b' 'd' 'd' 'd' 'd' 'b' 'd' 'd' 'd' 'd' 'd' 'd' 'd' 'b' 'd' 'b' 'd' 'a'
 'd' 'd' 'd' 'b' 'd' 'd' 'd' 'd' 'd' 'b' 'd' 'd' 'd' 'd' 'd' 'b' 'd' 'b'
 'b' 'd' 'd' 'd']","[ 6  6  6  6  6  7  6  6  6  6  6  6  6 10  6  6  7  9  6  6  6  7  6  6
  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","a particular library has 75 books in a special collection , all of which were in the library at the beginning of the month . these book are occasionally loaned out through an inter - library program . if , by the end of the month , 80 percent of books that were loaned out are returned and there are 69 books in the special collection at that time , how many books of the special collection were loaned out during that month ? The options are: a ) 20 , b ) 30 , c ) 35 , d ) 40 , e ) 55","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
96,e,"['e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e'
 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'a' 'e' 'e'
 'e' 'e' 'e' 'e']","[2 3 3 3 3 3 3 3 2 4 3 2 3 2 3 2 2 2 3 2 2 3 3 2 3 3 2 2 3 2 2 3 3 3 3 3 2
 2 3 3]","[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","if an object travels 300 feet in 6 seconds , what is the object ' s approximate speed in miles per hour ? ( note : 1 mile = 5280 feet ) The options are: a ) 30 , b ) 31 , c ) 32 , d ) 33 , e ) 34","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
97,b,"['b' 'd' 'b' 'b' '10' 'b' 'e' 'b' 'b' 'b' '955' 'b' '100' 'b' '1800' 'b'
 'd' 'b' '10' '10' '715' 'b' 'b' '10' 'b' '955' 'e' '10' '955' 'b' '10'
 '595' 'e' '190' '10' '10' '10' '10' 'e' '10']","[ 6  3  6  3  7  6  6  6 10  4  5  7  8  5 12  7  7  6  9  6  7  4  6 12
  3  5  3 11  3  6  6  7  4  8 12  6 12 12  6  9]","[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","there are 9 baskets numbered from 1 to 9 and filled with apples . 10 children are asked to pick apples one by one from each basket such that the number of apples picked by each child from each basket is equal to the number marked on the basket . if there were 1000 apples in total and the baskets were filled in such a way that none of the basket became empty in the process , how many apples were left in the end ? The options are: a ) 440 , b ) 550 , c ) 660 , d ) 770 , e ) 880","[1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
98,b,"['c' 'a' 'b' 'c' 'b' 'b' 'a' 'b' 'b' 'b' 'b' 'c' 'c' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'c' 'b' 'c' 'a' 'b' 'b' 'c' 'b' 'b' 'a' 'a'
 'a' 'b' 'a' 'c']","[9 6 7 6 7 5 6 8 4 7 5 6 9 9 6 7 7 6 7 6 6 4 5 5 7 6 5 6 5 6 7 6 5 5 6 5 5
 6 6 6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","in a sports club with 80 members , 48 play badminton and 46 play tennis and 7 do not play either . how many members play both badminton and tennis ? The options are: ['a ) 23', 'b ) 21', 'c ) 20', 'd ) 26', 'e ) 27']","[0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
99,e,"['b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b' 'b'
 'b' 'b' 'b' 'b']","[ 5  3  3  4  3  3  3  3  3  3  3  3  3  3  5  3  4  4  5  3  7  3  2  3
  3  3  4  5 10  3  3  4  3  7  4  4  3  5  3  3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","in a fuel station the service costs $ 2.10 per vehicle and every liter of fuel costs $ 0.60 . assuming that you fill up 3 mini - vans and 2 trucks , what will be the total cost , if a mini - van ' s tank is 65 liters and a truck ' s tank is 120 % bigger and they are all empty ? The options are: a ) $ 287.50 , b ) $ 290.40 , c ) $ 293.30 , d ) $ 296.20 , e ) $ 299.10","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,e,"['e' 'c' 'd' 'e' 'a' '1 : 7' 'd' '3 : 7' 'a' 'a' 'c' 'a' 'a'
 '0.0612244898' 'a' 'a' '0.43 : 7' 'a' 'd' 'c' '0.0612' 'd' 'a' 'a'
 '1 : 2' 'a' '3 : 7' '0.0612' '3 : 49' '15.25 : 250' 'a' 'a' 'b' '3 : 49'
 'a' 'c' 'c' 'a' 'a' 'e']","[5 4 5 4 4 3 5 3 3 4 5 6 3 3 3 4 3 3 4 4 3 5 3 4 5 4 3 3 4 6 3 3 4 4 4 4 5
 4 4 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","what is the ratio of 3 / 7 to the product 3 * ( 7 / 3 ) ? The options are: a ) 3 : 7 , b ) 1 : 3 , c ) 3 : 21 , d ) 1 : 7 , e ) 3 : 49","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
101,c,"['4626' 'c' '4626' 'c' 'c' 'c' '4516' 'c' 'c' 'c' '4657' '2313' 'c' 'c'
 'c' 'c' '23357' 'c' 'c' 'c' 'c' 'c' 'c' 'error' 'c' 'c' 'c' 'c' 'e'
 '2313' 'error' 'e' 'c' 'c' 'c' 'c' 'c' '23357' 'error' 'error']","[5 3 5 2 3 2 8 3 4 5 3 5 5 2 4 3 2 4 5 5 5 2 5 0 5 4 5 4 2 5 0 2 4 4 3 3 0
 2 0 0]","[ 0  0  0  0  0  0  2  0  0  0  0  0  0  2  2  2  0  9  5  0  0  0  0 10
  5  0  0  2  0  0 10  0  0  5  0  2  2  0 10 10]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","( 212 + 222 + 232 + . . . + 302 ) = ? The options are: a ) 385 , b ) 2485 , c ) 2570 , d ) 3255 , e ) none","[0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
102,e,"['e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' '20' '20' '20' 'e' 'e' 'e' '20' '20'
 'e' 'e' 'e' 'e' 'e' 'e' 'e' '20' 'e' 'e' '20' 'e' 'e' 'e' 'e' 'a' 'e' 'e'
 'a' 'e' 'e' '20' '20']","[7 4 4 4 4 3 4 6 4 4 4 4 4 4 4 4 4 3 3 4 4 6 3 4 4 4 5 4 5 5 5 5 5 4 5 6 3
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","a train of length 250 m crosses a bridge of length 150 m in 20 seconds . what is the speed of train ? The options are: a ) 33 , b ) 27 , c ) 25 , d ) 22 , e ) 72","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]"
103,e,"['e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e'
 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' '20' 'e' 'e' 'e' 'e' 'e' 'e'
 'e' 'e' 'e' 'e']","[5 4 4 4 5 4 4 4 2 3 4 4 3 4 5 4 5 4 4 5 2 4 4 5 4 4 5 4 5 4 4 4 4 4 4 3 5
 4 4 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","half a number plus 7 is 17 . what is the number ? The options are: a ) 8 , b ) 9 , c ) 10 , d ) 11 , e ) 20","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
104,c,"['c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'b' 'c' 'c' 'c' 'a' 'c' 'c' 'c' 'c' 'c'
 'c' 'a' 'b' 'c' 'c' 'c' 'c' 'c' 'c' '$30' 'c' 'c' 'c' 'c' 'c' 'c' 'b' 'c'
 'c' 'c' 'c' 'c']","[5 3 4 5 3 3 5 3 5 5 5 3 6 3 5 5 5 3 3 5 5 5 5 3 3 3 5 7 5 3 3 5 3 2 7 3 3
 3 5 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","how much interest will $ 8,000 earn in 9 months at an annual rate of 6 % ? The options are: a ) $ 250 , b ) $ 350 , c ) $ 360 , d ) $ 550 , e ) $ 650","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
105,d,"['a' 'c' 'a' 'd' 'b' 'a' 'b' 'c' 'd' 'b' 'a' 'a' 'd' 'a' 'c' 'd' 'c' 'd'
 'c' 'a' 'c' 'd' 'd' 'd' 'a' 'b' 'c' 'd' 'd' 'a' 'a' 'd' 'd' 'd' 'a' 'a'
 'd' 'a' 'a' 'a']","[ 1  1  1  8  1  4  1 10 10  1  1  1  6  1  1 10  1  9  1  1  1 10  7  7
  1  1 12 11 10  9  1 10  9 11  1  1  5  1  1  1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","if the ratio of the sum of the first 6 terms of a g . p . to the sum of the first 3 terms of the g . p . is 343 , what is the common ratio of the g . p ? The options are: a ) 3 , b ) 1 / 3 , c ) 2 , d ) 7 , e ) 1 / 7","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]"
106,e,"['e' 'c' 'e' 'e' 'e' 'e' 'a' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e'
 'a' 'a' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'a' 'e' 'e' 'e' 'e' 'a' 'e'
 'a' 'e' 'a' 'e']","[5 4 4 5 6 5 2 5 5 5 5 5 4 5 6 7 4 5 1 4 4 5 5 4 5 5 6 4 5 3 5 5 5 5 4 4 4
 5 4 6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","bert and rebecca were looking at the price of a condominium . the price of the condominium was 50 % more than bert had in savings , and separately , the same price was also 25 % more than rebecca had in savings . what is the ratio of what bert has in savings to what rebecca has in savings . The options are: a ) 1 : 6 , b ) 1 : 3 , c ) 1 : 2 , d ) 3 : 4 , e ) 5 : 6","[1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]"
107,e,"['e' '31' '36' 'e' 'e' '36' '0.72' 'e' '36' '31' '36' 'e' '31' 'c' '31'
 '36' 'c' '36' 'a' '31' '36' 'c' 'e' 'e' 'e' 'a' '31' 'e' 'e' 'e' 'e' 'c'
 'e' '36' 'e' 'a' 'a' 'e' 'a' 'e']","[3 3 4 3 3 4 3 3 4 3 4 3 3 3 2 4 3 4 4 3 4 3 3 2 2 3 3 6 6 3 3 3 2 4 3 3 5
 3 4 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","a shopkeeper sells 500 metres of cloth for rs . 18000 at a loss of rs . 5 per metre . find his cost price for one metre of cloth ? The options are: a ) 12 , b ) 27 , c ) 29 , d ) 50 , e ) 41","[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]"
108,e,"['e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e'
 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'a' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e' 'e'
 'e' 'e' 'e' 'e']","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 9 3 4 4 4 4 4 4 4 4 7 4
 4 4 6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","the difference of two numbers is 1565 . on dividing the larger number by the smaller , we get 6 as quotient and the 15 as remainder . what is the smaller number ? The options are: a ) a ) 270 , b ) b ) 280 , c ) c ) 290 , d ) d ) 300 , e ) e ) 310","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
109,a,"['c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c' 'c'
 'c' 'c' 'c' 'c']","[5 4 4 4 4 4 3 4 4 5 4 4 3 4 4 3 4 4 4 5 5 3 4 5 4 4 4 4 3 3 4 5 4 4 4 4 5
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","how many even number in the range between 15 to 100 inclusive are not divisible by 3 The options are: a ) 29 , b ) 30 , c ) 31 , d ) 33 , e ) 46","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
